date,description,amount
2025-11-02,Big Bazaar Groceries,1580
2025-11-03,Flipkart Electronics Accessory,740
2025-11-04,Uber to Office,132
2025-11-05,Electricity Bill,960
2025-11-06,Myntra Clothes Order,1290
2025-11-08,Apollo Pharmacy,310
2025-11-09,Amazon Fashion Purchase,899
2025-11-10,Swiggy Food Order,365
2025-11-11,Local Vegetable Market,270
2025-11-12,Hotstar Subscription,299
2025-11-14,Trends Clothing Store,780
2025-11-15,Petrol Pump,1020
2025-11-17,BigBasket Groceries,620
2025-11-18,Shopping Mall - Footwear,1650
2025-11-20,Ola Auto,95
2025-11-21,Cafe Coffee Day,215
2025-11-23,Flipkart Home Essentials,540
2025-11-25,Restaurant Lunch,480
2025-11-27,Airtel Fiber Bill,999
2025-11-29,Medical Store Purchase,260
